ETBL_ID,ETBL_NOM_FR,ETBL_NOM_EN,ETBL_DESC_FR,ETBL_DESC_EN,ETBL_RESERVABLE
8096676,Centre touristique Lac-Kénogami,Centre touristique Lac-Kénogami,"Baignade, jeux, châteaux de sable et pique-nique... Une journée à la plage du lac Kénogami, c¿est le retour aux étés de l¿enfance! Très appréciée des familles, la plage de sable fin est sécuritaire pour les enfants et de grands pins blancs font d¿agréables parasols. La plage est surveillée.","Swimming, games, sandcastles and picnics¿ A day at the beach at Lac Kénogami is a trip back to the summers of childhood! Popular with families, the sandy beach is safe for children and the great white pines provide pleasant shade. Lifeguard on duty.",0
8097156,Centre Plein Air du Portage,Centre Plein Air du Portage,"Cette base de plein air est une fenêtre sur le lac Kénogami. Activités nautiques (baignade, kayak et pédalo), aires de jeux et pavillon (restauration et location de salle). Un rendez-vous avec la nature et le calme.","This outdoor recreational area looks out onto Lac Kénogami. Water activities (swimming, kayaking, pedal-boating), playgrounds and pavilion (restaurant services and hall rental). A great spot to relax in the calm of nature.",0
8102422,Plage publique le Rigolet,Rigolet public beach,"Sur le bord du lac Saint-Jean, découvrez cette plage publique à l'accès gratuit et ses nombreux services : information touristique, sentier pédestre et d'interprétation, aires de jeux extérieurs et d'observation, restauration, aire de pique-nique et stationnement payant pour motorisés. Accès direct à la Véloroute des bleuets.","On the shores of Lac Saint-Jean, discover this free public beach and its many services: tourism information, walking and interpretation path, outdoor playgrounds and observation sites, restaurant, picnic area and paid parking for motor homes. Direct access to the Véloroute des bleuets (blueberry bike path).",0
8102533,Plage de la Pointe Scott,Plage de la Pointe Scott,"La Pointe-Scott, avec sa superbe plage, vous offre la baignade avec surveillance tous les jours. Deux terrains de volleyball de plage éclairés, une aire de pique-nique agrémentée de balançoires, ainsi que la Véloroute des Bleuets, qui passe à moins de 200 mètres du site.","Pointe-Scott, with its superb beach, offers you supervised swimming daily. Two light up beach volleyball courts, a picnic area with swings and the Véloroute des Bleuets bike path, which passes less than 200 metres (650 ft.) from the site.",0
8102617,Camping municipal de Saint-Félix-d'Otis,Camping municipal de Saint-Félix-d'Otis,"Belle plage sablonneuse avec zone de baignade dans une eau de qualité A1, surveillée par un sauveteur qualifié. Embarcations en location, aire de jeux pour enfants, terrains de volley-ball de plage et casse-croûte.","This pretty beach with swimming area boasts top-quality water and is supervised by a qualified lifeguard. Nautical craft rentals. Snack bar, playground and beach volley-ball.",0
8102850,Fort Débrouillard,Fort Débrouillard,"Inspiré de la série télévisée <i>Fort Boyard</i>, ce lieu d'aventure sollicite à la fois muscles et neurones, diplomatie et audace, esprit d'équipe et efforts individuels dans un chassé-croisé de folles épreuves physiques et mentales. Vous y trouverez assez d'embûches et de mystères pour ravigoter votre système D et dégourdir durant plusieurs heures votre corps qui, à la fin de la journée, réclamera vivement sa dose de sommeil.","Based on the popular television game show <i>Fort Boyard</i>, this place challenges your muscles and brain cells, your sense of diplomacy and daring, your team spirit and individual resourcefulness. Here you will find enough obstacles and unanswered puzzles to keep your body busy for several hours... before it calls out, at the end of the day, for a well-deserved rest.",0
8104839,Plage municipale de Saint-Ludger-de-Milot,Plage municipale de Saint-Ludger-de-Milot,"Plage municipale de Saint-Ludger-de-Milot, au bord du lac Serein, à moins de 1 km du village. L'eau est d'une excellente qualité. À la disposition des visiteurs, quatre petits chalets en bois rond à louer et un terrain de camping. Un grand chalet avec salle disponible pour location (100-150 personnes) avec bar et restaurant.","Saint-Ludger-de-Milot municipal beach, on the shores of Lac Serein, less than 1 km from the village. The water quality is excellent. Four small log cabins for rent and camping available. Also for rent, a large chalet with a reception room (100-150 people), bar and restaurant.",0
8132233,Golf de la Maskinonge,Golf de la Maskinonge,"Situé aux abords du lac Cameron, à mi-parcours entre Mont-Tremblant et Montebello, le golf de la Maskinonge s'étend sur plus de 20 hectares, à flanc de montagne, dans un magnifique décor. Avec ses tertres de départ agrandis et complètement redessinés et ses allées vallonnées, il offre un défi de tous les instants. <br />Parcours : 9 trous - 2 200 verges - normale 33","Located on the shores of Lac Cameron, halfway between Mont-Tremblant and Montebello, this mountainside golf club extends over more than 20 hectares (nearly 50 acres) in magnificent surroundings. With its enlarged and fully redesigned teeing areas and its undulating fairways, the course offers challenges at every turn. <br />Course: 9 holes - 2,200 yards - par 33",0
8133112,Le club de golf Lennoxville,The Old Lennoxville Golf Club,"Ce club semi-privé, ouvert en 1897, est situé à Lennoxville. Il compte 9 trous accommodant tous les golfeurs. Location de bâtons et de voiturettes, boutique de golf, terrains d'entraînement et service de bar. <br />Parcours : 9 trous - 2 735 verges - normale 35","This semi-private club, open since 1897 and located in Lennoxville, offers nine holes geared to golfers of all levels. Club and cart rentals available along with pro shop, driving range and bar service. <br />Course: 9 holes - 2,735 yards - par 35",0
8142734,Plage du Parc Moussette,Plage du Parc Moussette,"Ce parc offre de nombreuses activités de plein air : vélo sur la piste cyclable, tennis, basket-ball, base-ball et volley-ball, ainsi que baignade pour les petits et les grands. Sur place, vestiaires et douches. Un parc a été aménagé pour les enfants. Du plaisir pour tous!","This park offers numerous outdoor activities: cycling on a bike path, tennis, basketball, baseball and volleyball, as well as swimming for all ages. On site: changing-room, showers and a children's playground. Fun for everyone!",0
