Nom de la borne de recharge,Nom du parc,Adresse,Niveau de recharge,Latitude,Longitude,Coût
AAA-146,Laurier Québec,"2700 boul. Laurier, Québec, QC, G1V 4J9",Level2,46.77081,-71.286738,"1,00 $ (CAD) de l'heure"
NBA-017,Fredericton City Hall,"397 Queen street, Fredericton, NB, E3B 1B5",Level2,45.964111,-66.643139,"1,50 $ (CAD) de l'heure"
AAA-10446,Simons - Londonderry,"100A 1-Londonderry Mall NW, Edmonton, AB, T5C 3C8",Level2,53.604111,-113.445444,"0,00 $ (CAD) de l'heure"
AAA-10680,Kingston - Portsmouth Harbour,"53 Yonge St, Kingston, ON, K7M 6G4",Level2,44.220466,-76.516651,"0,00 $ (CAD) de l'heure"
AAA-594,Benny & Co. - Chambly,"880 Boulevard de Périgny, Chambly, QC, J3L 1W3",Level2,45.453666,-73.302287,"1,00 $ (CAD) de l'heure"
AAB-13430,"Region of Peel - 10 Peel Centre Drive, Suite B","10 Peel Centre Dr, Brampton, ON, L6T 4B9",Level2,43.719084,-79.722039,"0,00 $ (CAD) par session"
AAB-11735,Salon de Jeux Trois-Rivières,"1900 Boulevard des Forges, Trois-Rivières, QC, G8Z 0A3",Level2,46.345814,-72.562083,"0,00 $ (CAD) par session"
AAA-10430,City of Vancouver - Arbutus St.,"1305 Arbutus St., Vancouver, BC, V6J 5N2",Level2,49.273814,-123.152662,"1,00 $ (CAD) de l'heure"
AAB-11279,University of Waterloo,"263 Philip St., Waterloo, ON, N2L 3G1",Level2,43.472984,-80.53837,"0,00 $ (CAD) de l'heure"
AAB-00496,Morguard - Place Innovation Coop,"2351 Boulevard Alfred Nobel, Saint-Laurent, QC, H4S 2A9",Level2,45.484169,-73.760642,"1,00 $ (CAD) de l'heure"
AAA-518,Québec - Amphithéâtre,"250-B boulevard Wilfrid-Hamel, Québec, QC, G1L 5A7",Level2,46.829481,-71.24609,"1,00 $ (CAD) de l'heure"
AAA-11079,City of Victoria - Broughton Street Parkade,"745 Broughton Street, Victoria, BC, V8W 3H2",Level2,48.423506,-123.364164,"0,00 $ (CAD) par session"
AAB-12611,Kingston - Artillery Park Aquatic Center,"382 Bagot St , Kingston, ON, K7K 5V1",Level2,44.234034,-76.484431,"0,00 $ (CAD) par session"
AAA-10297,FLO - CF Carrefour Laval,"3003 boul. Le Carrefour, Laval, QC, H7T 1C7",Level2,45.571457,-73.75047,"1,25 $ (CAD) de l'heure"
AAA-10823,Wilfrid Laurier University - Market Square,"161, Dalhousie Street, Brantford, ON, N3T 2J5",Level2,43.139179,-80.260825,"0,00 $ (CAD) de l'heure"
AAA-195,Centre Les Rivières,"4225 boul. des Forges, Trois-Rivières, QC, G8Y 1W2",Level2,46.35624,-72.587685,"1,00 $ (CAD) de l'heure"
AAC-00078,BC Hydro - Radium Community Centre,"4863 Stanley St, Radium Hot Springs, BC, V0A 1M0",FastDC,50.618472,-116.073067,"0,00 $ (CAD) de l'heure"
AAB-10826,Chilliwack General Hospital,"45600 Menholm Rd, Chilliwack, BC, V2P 1P7",Level2,49.166815,-121.9635,"0,00 $ (CAD) par session"
AAA-332,City of Victoria - Bastion Square Parkade,"575 Yates St, Victoria, BC, V8W 2Z6",Level2,48.426556,-123.369062,"0,00 $ (CAD) de l'heure"
AAA-345,District of Saanich - Commonwealth Place,"4636 Elk Lake Drive, Victoria, BC, V8Z 5M1",Level2,48.501537,-123.388674,"0,00 $ (CAD) par session"
AAB-10960,NVRC - Delbrook,"600 W Queens Rd, North Vancouver, BC, V7N 2L3",Level2,49.33614,-123.092582,"0,00 $ (CAD) par session"
AAA-276,Burnaby Association for Community Inclusion (BACI),"2702 Norland Avenue, Burnaby, BC, V5B 3A6",Level2,49.259821,-122.982448,"0,00 $ (CAD) de l'heure"
AAA-128,Galeries Rive-Nord,"100 boul. Brien, Repentigny, QC, J6A 5N4",Level2,45.741203,-73.459367,"1,00 $ (CAD) de l'heure"
AAB-12575,SQI – 1701 Parthenais,"1701 rue parthenais, Montreal, QC, H2K 4S8",Level2,45.528878,-73.554269,"1,00 $ (CAD) de l'heure"
AAB-11190,Region of Peel - 10 Peel Centre Drive,"10 Peel Centre Dr, Brampton, ON, L6T 4B9",Level2,43.719035,-79.722865,"0,00 $ (CAD) par session"
AAA-10417,Côte Saint-Luc - Hôtel de Ville & Bibliothèque Publique Eleanor London,"5801 boul Cavenish, Montréal, QC, H4W 3C3",Level2,45.47792087,-73.66300102,"1,00 $ (CAD) de l'heure"
AAA-10338,Municipality of Digby,"4575 Nova Scotia Trunk 1, Weymouth, NS, B0W 3T0",Level2,44.409238,-65.99696,"0,00 $ (CAD) de l'heure"
AAC-00035,FLO - Canadian Tire - Pickering,"1735 Pickering Pkwy, Pickering, ON, L1V 7C7",FastDC,43.842953,-79.069323,"20,00 $ (CAD) de l'heure"
AAA-10998,Campus Laval,"1700 Rue Jacques-Tétreault, Laval, QC, H7N 0A5",Level2,45.558881,-73.720457,"1,00 $ (CAD) de l'heure"
AAB-11539,1055,"1055 Boulevard du Séminaire N, St-Jean-sur-Richelieu, QC, J3A 1R7",Level2,45.33813,-73.26805,"1,00 $ (CAD) de l'heure"
AAA-10494,Village of Kaslo,"Water st. Parking area, Kaslo, BC, V0G 1M0",Level2,49.912356,-116.903831,"1,00 $ (CAD) de l'heure"
AAA-296,Okanagan College - Kelowna Campus,"1000 K.L.O. Road, Kelowna, BC, V1Y 4X8",Level2,49.86132,-119.479902,"0,00 $ (CAD) par session"
NBA-015,Grand Bay - Westfield - Brundage Point River Centr,"4 Ferry Rd, Grand Bay-Westfield, NB, E5K 4V3",Level2,45.347883,-66.22412,"0,00 $ (CAD) de l'heure"
AAA-193,Okanagan College - Salmon Arm Campus,"2552 10th Ave NE, Salmon Arm, BC, V1E 2S4",Level2,50.692869,-119.313179,"0,00 $ (CAD) par session"
AAB-11620,Kwantlen Polytechnic University - 5600 Kwantlen Street,"5600 Kwantlen St., Richmond, BC, V6X 2X9",Level2,49.175378,-123.128088,"0,00 $ (CAD) par session"
AAB-12280,Centennial College - Progress Campus Parking 7,"941 Progress Ave, Scarborough, ON, M1G 3T8",Level2,43.786412,-79.225278,"0,00 $ (CAD) par session"
AAA-10821,Saint-Hippolyte - Hôtel de ville,"2253 Chemin des hauteurs, Saint Hippolyte, QC, J8A 1A1",Level2,45.930699,-74.025824,"1,00 $ (CAD) de l'heure"
AAA-430,Canderel-Constitution Square Tower II,"350 Albert St, Ottawa, ON, K1R 1A4",Level2,45.41825074,-75.70313614,"1,00 $ (CAD) de l'heure"
AAA-10655,London Hydro - 276 Dundas St.,"276 Dundas Street, London, ON, N6A 4H6",Level2,42.9852056,-81.2447222,"1,50 $ (CAD) de l'heure"
AAA-10544,City of Vancouver - Arbutus St.,"1305 Arbutus St., Vancouver, BC, V6J 5N2",Level2,49.273814,-123.152662,"1,00 $ (CAD) de l'heure"
AAA-155,Centropolis,"190 Promenade du Centropolis, Laval, QC, H7T 2Z6",Level2,45.56167,-73.745374,"1,00 $ (CAD) de l'heure"
AAB-10543,EasyPark - Pacific Centre,"701 W Georgia St, Vancouver, BC, V7Y 1G5",Level2,49.283974,-123.11755,"0,00 $ (CAD) de l'heure"
AAB-13246,"SQI - 2144. Rue King, Sherbrooke","2144 Rue King ouest, Sherbrooke, QC, J1J 2E8",Level2,45.397874,-71.925222,"1,00 $ (CAD) de l'heure"
AAB-00133,CÉGEP de Drummondville,"960, rue Saint-Georges, Drummondville, QC, J2C 6A2",Level2,45.87348006,-72.5048208,"1,00 $ (CAD) de l'heure"
AAA-10472,KNGB (Ktunaxa Nation Government Building),"220 Cranbrook st., Cranbrook, BC, V1C 3R3",Level2,49.5145,-115.76479,"0,00 $ (CAD) de l'heure"
