ETBL_ID,ADR_ID,ADR_GENRE_ID,ADR_GENRE_FR,ADR_GENRE_EN,ADR_PRINCIPALE,ADR_CIVIQUE,ADR_MUNICIPALITE,ADR_PROVINCE,ADR_PAYS,ADR_CODE_POSTAL,ADR_PNT_SERVC_FR,ADR_PNT_SERVC_EN,ADR_PNT_SERVC_DEFAUT,ADR_LATITUDE,ADR_LONGITUDE,ADR_COMMENT_FR,ADR_COMMENT_EN
4204259,18598895,7,Exploitation,Operations,1,"400, ch. du Golf",Drummondville,Québec,Canada,J2C8S9,,,1,45.899221,-72.500512,,
4204306,4204320,7,Exploitation,Operations,1,"328, rang du Golf",Plessisville,Québec,Canada,G6L2Y2,,,1,46.271941,-71.713808,,
4204354,18605252,7,Exploitation,Operations,1,"651, 12e Rang O.",Princeville,Québec,Canada,G6L4K5,,,1,46.118513,-71.896086,,
4204442,18599045,7,Exploitation,Operations,1,"223, rue Perreault CP 202",Victoriaville,Québec,Canada,G6P6S8,,,1,46.045236,-71.946742,,
4205073,4205163,7,Exploitation,Operations,1,"17500, boul. Bécancour",Bécancour,Québec,Canada,G9H1A4,,,1,46.303332,-72.534911,,
4205792,4205933,7,Exploitation,Operations,1,"29, rte 275 N.",Frampton,Québec,Canada,G0R1M0,,,1,46.490532,-70.843397,,
4206414,4206492,7,Exploitation,Operations,1,"566, rte du Golf",Lac-Etchemin,Québec,Canada,G0R1S0,,,1,46.418658,-70.523059,,
4207251,4207310,7,Exploitation,Operations,1,"777, rue de Lauberivière",Lévis,Québec,Canada,G6V7M5,,,1,46.758217,-71.183194,,
4207523,4207544,7,Exploitation,Operations,1,"473, ch. du Golf C.P. 111",Montmagny,Québec,Canada,G5V3S3,,,1,46.959502,-70.492396,,
4207812,4207846,7,Exploitation,Operations,1,"4483, rte des Rivières",Lévis,Québec,Canada,G6J1A8,,,1,46.643989,-71.323088,,
4208058,22146089,7,Exploitation,Operations,1,"11450, 90e Rue C.P. 123",Saint-Georges,Québec,Canada,G5Y5C4,,,1,46.189393,-70.616262,,
4208335,4208356,7,Exploitation,Operations,1,"269, rte 269",Saint-Gilles,Québec,Canada,G0S2P0,,,1,46.571804,-71.36461,,
4209276,4209428,7,Exploitation,Operations,1,"670, ch. du Golf",Saint-Jean-Port-Joli,Québec,Canada,G0R3G0,,,1,47.1603,-70.290769,,
4209683,4209694,7,Exploitation,Operations,1,"333, ch. du Golf",Saint-Michel-de-Bellechasse,Québec,Canada,G0R3S0,,,1,46.859669,-70.880512,,
4209958,4209999,7,Exploitation,Operations,1,"537, rte Marie-Victorin",Lévis,Québec,Canada,G7A2X6,,,1,46.724988,-71.321944,,
4210356,18660873,7,Exploitation,Operations,1,"120, rt. du Mont Adstock",Adstock,Québec,Canada,G0N1S0,,,1,46.028724,-71.189113,,
4210914,4210934,7,Exploitation,Operations,1,"40, ch. de l' Équerre",Baie-Saint-Paul,Québec,Canada,G3Z2Y7,,,1,47.446686,-70.523959,,
4211141,4211184,7,Exploitation,Operations,1,"1013, ch. du Golf",La Malbaie,Québec,Canada,G5A1H1,,,1,47.640596,-70.15235,,
4213615,18655301,7,Exploitation,Operations,1,"181, Rue Richelieu",La Malbaie,Québec,Canada,G5A1X7,,,1,47.6213665,-70.146249,,
4214021,18679991,7,Exploitation,Operations,1,"1571, boul, Saint-Jean Baptiste",Saguenay,Québec,Canada,G7H7T9,,,1,48.420004,-71.020749,,
4214207,18680275,7,Exploitation,Operations,1,"15, ch. du Golf",Saint-Gédéon,Québec,Canada,G0W2P0,,,1,48.554267,-71.77676,,
4214451,18679720,7,Exploitation,Operations,1,"776, rue Principale",Saint-Prime,Québec,Canada,G8J1T9,,,1,48.604091,-72.34813,,
4214991,4215011,7,Exploitation,Operations,1,"17280, ch. de la Grande-Ligne",Québec,Québec,Canada,G2N2G3,,,1,46.925033,-71.366618,,
4215244,18557454,7,Exploitation,Operations,1,"1418, rte de l' Aéroport",Québec,Québec,Canada,G2G1G6,,,1,46.792944,-71.361105,,
4216065,18595927,7,Exploitation,Operations,1,"100, rue Beau-Mont",Beaupré,Québec,Canada,G0A1E0,,,1,47.073515,-70.908155,,
4217502,18586433,7,Exploitation,Operations,1,"2, rte 365",Pont-Rouge,Québec,Canada,G3H3R4,,,1,46.756777,-71.699961,,
4218206,58817906,7,Exploitation,Operations,1,"164, rte 132",Métis-sur-Mer,Québec,Canada,G0J1S0,,,1,48.678062,-67.973335,,
4218353,11357712,7,Exploitation,Operations,1,"40, 28e Rue O.",Sainte-Anne-des-Monts,Québec,Canada,G4V2X2,,,1,49.120982,-66.526186,,
4222428,4222441,7,Exploitation,Operations,1,"200, rue Commerciale O.",Chandler,Québec,Canada,G0C1K0,,,1,48.34784,-64.684873,,
4223140,4223199,7,Exploitation,Operations,1,"2053, boul. Douglas",Percé,Québec,Canada,G0C2X0,,,1,48.705826,-64.265645,,
4223433,4223466,7,Exploitation,Operations,1,"361, rte 132 E.",Bonaventure,Québec,Canada,G0C1E0,,,1,48.006592,-65.426974,,
4223694,4223730,7,Exploitation,Operations,1,"939, boul. Perron",Carleton-sur-Mer,Québec,Canada,G0C1J0,,,1,48.098526,-66.092699,,
4307941,4308071,7,Exploitation,Operations,1,"200, rue Edmonton",Gatineau,Québec,Canada,J8Y3S6,,,1,45.4579291,-75.737509,,
4314020,500007442,7,Exploitation,Operations,1,682 route Notre-Dame,Saint-Casimir,Québec,Canada,G0A3L0,,,1,46.676675,-72.093799,,
4315127,12829774,7,Exploitation,Operations,1,"184,route de l'Église",Saint-Elzéar,Québec,Canada,G0C2W0,,,1,48.157497,-65.397058,,
4323860,8600778,7,Exploitation,Operations,1,7e av. - ch. Trou de la Fée,Desbiens,Québec,Canada,G0W1N0,,,1,48.398095,-71.965084,,
4392816,99196822,207849054,Départ,Boarding point,1,,,,,,Rimouski,Rimouski,1,48.478313,-68.511214,,
4392816,331877798,207849124,Billetterie,Ticket office,1,1 rue du Quai,Rimouski,,,,Marina,Marina,0,48.477747,-68.511746,,
4438726,4438773,7,Exploitation,Operations,1,29-A. boul. Saint-Joseph,Montréal,Québec,Canada,H8S2K9,,,1,45.440367,-73.652053,,
4448759,4448902,7,Exploitation,Operations,1,"16, rue du Petit-Champlain",Québec,Québec,Canada,G1K4H4,,,1,46.812536,-71.20368,,
4566537,4566637,7,Exploitation,Operations,1,,,,,,Québec,Québec,1,46.813878,-71.207981,,
4637051,4637061,7,Exploitation,Operations,1,"466, Grande Allée E.",Grande-Rivière,Québec,Canada,G0C1V0,,,1,48.378374,-64.564762,,
4708625,214309817,207849054,Départ,Boarding point,1,,,,,,Magog,Magog,1,45.267759,-72.161465,,
4830698,18934925,7,Exploitation,Operations,0,"1385, ch. de la Marina",Alma,Québec,Canada,G8B5W1,Centre de Villégiature la Dam-en-Terre,Complexe touristique de la Dam-en-Terre,0,48.585956,-71.66523,,
4830698,18935052,7,Exploitation,Operations,0,"250, rang des Îles",Saint-Gédéon,Québec,Canada,G0W2P0,Auberge des Îles,Auberge des Îles,0,48.5504,-71.77884,,
4830698,26021348,7,Exploitation,Operations,1,"160, rue St-Joseph S.",Alma,Québec,Canada,G8B5V5,Centrale de réservation,Reservation Centre,1,48.549453,-71.653259,,
4830698,314688301,7,Exploitation,Operations,0,"1454, rue Principal",Chambord,Québec,Canada,G0W1G0,Centre du Sport Lac Saint-Jean,Centre du Sport Lac Saint-Jean,0,48.428999,-72.057795,,
4832891,4832903,7,Exploitation,Operations,1,"99, ch. du Moulin",Lac-Beauport,Québec,Canada,G3B0E1,Centre de services,Centre de services,1,46.983414,-71.269587,,
4972407,4972417,7,Exploitation,Operations,1,"4035, rue St-Ambroise Local 220N",Montréal,Québec,Canada,H4C2E1,,,1,45.475073,-73.581038,,
5130656,5130678,7,Exploitation,Operations,1,"83, rue Notre-Dame O.",Lorrainville,Québec,Canada,J0Z2R0,,,1,47.353992,-79.357274,,
5131177,5131193,7,Exploitation,Operations,1,"464, rang 10 de Colombourg",Macamic,Québec,Canada,J0Z2S0,,,1,48.719348,-79.154035,,
5131457,12842998,7,Exploitation,Operations,1,"145, rte du Vieux-Moulin",Auclair,Québec,Canada,G0L1A0,,,1,47.729553,-68.642524,,
5157797,5157811,7,Exploitation,Operations,1,"69, rte 132 O.",Trois-Pistoles,Québec,Canada,G0L4K0,,,1,48.105878,-69.207692,,
5157884,5157903,7,Exploitation,Operations,1,"155, rue des Érables",Brigham,Québec,Canada,J2K4E1,,,1,45.23513,-72.853737,,
5158512,5158535,7,Exploitation,Operations,1,"6335, rte Louis-Saint-Laurent",Compton,Québec,Canada,J0B1L0,,,1,45.260566,-71.832528,,
5158783,5158813,7,Exploitation,Operations,1,"1047, rue Bruce",Dunham,Québec,Canada,J0E1M0,Route 202,Route 202,1,45.109987,-72.854715,,
5158963,5158974,7,Exploitation,Operations,1,"1086, rue Bruce (route 202)",Dunham,Québec,Canada,J0E1M0,,,1,45.129195,-72.806984,,
5159473,5159495,7,Exploitation,Operations,1,"879, rue Bruce",Dunham,Québec,Canada,J0E1M0,,,1,45.113251,-72.847032,,
5160412,5160430,7,Exploitation,Operations,1,"1046, rue Bruce rte 202",Dunham,Québec,Canada,J0E1M0,,,1,45.109858,-72.855559,,
5160650,5160676,7,Exploitation,Operations,1,"341, rue Bruce",Dunham,Québec,Canada,J0E1M0,,,1,45.1268698,-72.8139518,,
5161490,5161515,7,Exploitation,Operations,1,"1257, ch. de la Rivière",Magog,Québec,Canada,J1X3W5,,,1,45.298917,-72.051896,,
5162137,5162151,7,Exploitation,Operations,1,"205, ch. Ridge",Saint-Armand,Québec,Canada,J0J1T0,,,1,45.070214,-72.935217,,
5162284,5162294,7,Exploitation,Operations,1,"295, ch. des Érables",Saint-Armand,Québec,Canada,J0J1T0,,,1,45.027383,-72.931661,,
5164517,5164547,7,Exploitation,Operations,1,"576, 4e Rang E.",Saint-Georges-de-Windsor,Québec,Canada,J0A1J0,,,1,45.66766,-71.854617,,
5165169,5165184,7,Exploitation,Operations,1,"158, ch. Ridge",Stanbridge East,Québec,Canada,J0J2H0,,,1,45.082615,-72.935195,,
5165369,5165399,7,Exploitation,Operations,1,"740, ch. Bean",Stanstead,Québec,Canada,J0B3E0,,,1,45.041754,-71.965129,,
5165796,5165830,7,Exploitation,Operations,1,"252, 3e Rang E.",Stoke,Québec,Canada,J0B3G0,,,1,45.467441,-71.844518,,
5166572,87997240,7,Exploitation,Operations,1,"185, rte 165",Irlande,Québec,Canada,G6H2N7,,,1,46.103401,-71.533428,,
5166788,5166797,7,Exploitation,Operations,1,"210, boul. Lemire O.",Drummondville,Québec,Canada,J2B8A9,,,1,45.890174,-72.545556,,
5171466,11315289,7,Exploitation,Operations,1,"1339, boul. Mgr-De Laval",Baie-Saint-Paul,Québec,Canada,G3Z2X6,,,1,47.504011,-70.5124,,
5171769,5171781,7,Exploitation,Operations,1,"91, rang Éboulements Centre",Les Éboulements,Québec,Canada,G0A2M0,,,1,47.466786,-70.330663,,
5171931,31727576,7,Exploitation,Operations,1,"1568C, rte 277",Lac-Etchemin,Québec,Canada,G0R1S0,,,1,46.403615,-70.524949,,
5172427,5172445,7,Exploitation,Operations,1,"3837, rte Marie-Victorin",Saint-Antoine-de-Tilly,Québec,Canada,G0S2C0,,,1,46.661506,-71.572415,,
5172534,5172547,7,Exploitation,Operations,1,"5540, rang Sud-Est",Saint-Charles-de-Bellechasse,Québec,Canada,G0R2T0,,,1,46.803947,-70.898291,,
5174560,5174584,7,Exploitation,Operations,1,"2068, rte Marie-Victorin",Lévis (Saint-Nicolas),Québec,Canada,G7A4H5,,,1,46.692316,-71.455912,,
5174741,5174762,7,Exploitation,Operations,1,"585, rte 132",Saint-Vallier,Québec,Canada,G0R4J0,,,1,46.899552,-70.80879,,
5175223,5175252,7,Exploitation,Operations,1,"141, rte de la Mer",Sainte-Flavie,Québec,Canada,G0J2L0,,,1,48.593137,-68.269553,,
5176413,5176433,7,Exploitation,Operations,1,"337, ch. du Lac-Ducharme",Sainte-Marcelline-de-Kildare,Québec,Canada,J0K2Y0,,,1,46.089596,-73.625308,,
5194643,5194663,7,Exploitation,Operations,1,"1391, rang Pied de la Montagne",Sainte-Mélanie,Québec,Canada,J0K3A0,,,1,46.155242,-73.521619,,
5194996,5195019,7,Exploitation,Operations,1,"111, 2e Rang de Gravel",Ferme-Neuve,Québec,Canada,J0W1C0,,,1,46.742706,-75.408268,,
5195991,5196025,7,Exploitation,Operations,1,"10291, rang de la Fresnière",Mirabel,Québec,Canada,J7N3M3,,,1,45.567603,-74.076048,,
5196312,5196320,7,Exploitation,Operations,1,"7100, rang St-Vincent",Mirabel,Québec,Canada,J7N3N1,,,1,45.59236,-74.139302,,
5196518,5196574,7,Exploitation,Operations,1,"807, ch. de la Rivière-Nord",Saint-Eustache,Québec,Canada,J7R0J5,,,1,45.562526,-73.961445,,
5196711,5196721,7,Exploitation,Operations,1,"175, montée du Village",Saint-Joseph-du-Lac,Québec,Canada,J0N1M0,,,1,45.52886,-74.012725,,
5196788,5196807,7,Exploitation,Operations,1,"2007, ch. Principal",Saint-Joseph-du-Lac,Québec,Canada,J0N1M0,,,1,45.547761,-74.026033,,
5197819,5197836,7,Exploitation,Operations,1,"4740, boul. des Mille-Îles",Laval,Québec,Canada,H7J1A1,,,1,45.683686,-73.671176,,
